周转                             000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 000000a8 
州                               0000001e 00000054 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 
洲                               0000001e 00000069 00000069 00000069 00000069 0000008d 
粥                               00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 0000001a 0000001a 0000001e 0000002a 00000033 00000039 00000040 00000049 0000004b 0000004d 0000004d 0000004d 0000005d 0000005d 0000005d 0000005d 0000005f 0000005f 0000005f 00000074 00000078 00000095 00000097 000000ae 000000ae 000000ae 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 000000fd 00000100 
舟                               00000069 
诌                               0000005f 
轴                               0000005d 0000005f 00000089 
轴心                             00000039 
帚                               00000019 0000001f 00000031 0000003d 00000095 00000095 00000095 00000095 00000095 00000095 00000095 00000095 00000095 00000095 
肘                               0000000c 0000000e 00000023 00000027 0000002b 00000043 0000004b 0000004b 0000005d 0000005d 0000005d 0000005d 0000005d 000000a5 
肘部                             00000008 0000000e 00000014 00000014 0000002a 0000002d 00000045 00000058 00000058 
肘关节                           00000072 
肘子                             00000001 00000001 0000008a 0000009c 000000c6 000000c6 000000c7 000000c7 000000c8 000000c8 000000ca 000000ca 000000f4 000000f4 000000fa 000000fa 
咒                               00000007 00000007 00000008 00000011 00000017 00000019 00000019 00000021 00000021 00000021 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000025 00000025 00000026 00000026 00000027 00000028 00000029 00000029 00000029 0000002d 0000002d 0000002d 0000002d 0000002d 0000002d 0000002d 0000002d 0000002d 0000002e 0000002e 0000002e 0000002f 0000002f 0000002f 00000030 00000030 00000030 00000032 00000032 00000032 00000032 00000032 00000032 00000034 00000034 00000034 00000034 00000034 00000034 00000035 0000003b 0000003b 0000003c 0000003c 0000003c 0000003f 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000041 00000041 00000041 00000041 00000041 00000042 00000042 00000042 00000042 00000042 00000042 00000042 00000043 00000043 00000043 00000043 00000043 00000044 00000044 00000044 00000047 00000047 00000048 00000049 00000049 00000049 0000004b 0000004d 00000050 00000051 00000052 00000052 00000053 00000059 00000059 0000006d 0000006d 0000006d 0000006e 0000006f 00000071 00000075 0000007a 0000007a 00000082 00000082 00000082 00000082 00000082 00000082 00000082 00000083 0000008e 0000008f 0000008f 0000008f 0000008f 00000090 00000095 00000098 00000098 00000098 00000098 00000098 00000098 00000099 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009d 0000009e 0000009f 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 
咒骂                             0000000e 00000021 00000021 00000038 00000039 0000004b 0000004d 00000058 0000005f 00000071 00000071 00000095 
咒语                             00000007 00000007 00000008 00000008 00000008 0000000a 00000010 00000011 00000011 00000017 00000017 00000019 00000019 00000019 00000019 00000019 00000019 00000019 00000019 00000019 0000001f 0000001f 00000020 00000021 00000021 00000021 00000021 00000021 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000022 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000024 00000026 00000027 00000027 00000027 00000027 00000027 00000027 00000028 00000028 00000029 00000029 00000029 00000029 00000029 0000002a 0000002a 0000002a 0000002d 0000002d 0000002f 00000030 00000030 00000031 00000031 00000032 00000032 00000032 00000032 00000032 00000032 00000032 00000032 00000032 00000032 00000032 00000032 00000033 00000033 00000033 00000035 00000036 00000036 00000036 00000036 00000036 00000038 00000039 00000039 0000003d 0000003e 0000003e 0000003e 0000003e 0000003e 0000003e 0000003f 0000003f 0000003f 00000040 00000040 00000041 00000041 00000041 00000041 00000041 00000041 00000041 00000042 00000042 00000042 00000042 00000042 00000042 00000042 00000042 00000042 00000042 00000043 00000043 00000043 00000043 00000043 00000043 00000044 00000044 00000044 00000044 00000044 00000044 00000044 00000044 00000044 00000045 00000045 00000045 00000048 0000004a 0000004a 0000004a 0000004a 0000004a 0000004a 0000004a 0000004a 0000004c 0000004c 0000004d 00000051 00000051 00000052 00000052 00000052 00000053 00000053 00000053 00000054 00000055 00000057 0000006d 0000006d 0000006d 0000006d 0000006d 0000006d 0000006e 0000006e 0000006e 0000006f 0000006f 00000070 00000071 00000071 00000072 00000072 00000072 00000072 00000072 00000072 00000073 00000073 00000073 00000074 00000074 00000075 00000077 00000079 00000079 0000007a 0000007a 0000007a 0000007d 0000007d 0000007d 00000082 00000083 00000085 00000088 00000088 00000088 00000088 00000088 00000088 00000088 0000008c 0000008c 0000008e 0000008f 0000008f 0000008f 0000008f 0000008f 0000008f 0000008f 00000093 00000093 00000093 00000093 00000094 00000094 00000095 00000095 00000095 00000095 00000095 00000095 00000096 00000097 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000098 00000099 00000099 0000009a 0000009a 0000009a 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009b 0000009c 0000009c 0000009d 0000009d 0000009d 0000009d 0000009d 0000009d 0000009e 0000009f 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a2 000000a3 000000a3 000000a5 000000a5 000000a5 
昼                               0000001a 0000001a 000000af 000000af 
昼长夜短                         00000066 00000066 
昼夜                             0000001a 0000001a 0000001a 0000001a 0000001a 0000001a 0000001a 0000001a 0000004a 00000066 00000066 00000066 00000066 00000066 00000066 00000066 00000066 00000066 00000066 00000066 00000066 000000af 000000af 
皱                               00000007 00000008 00000008 00000009 00000009 0000000a 0000000b 0000000b 0000000b 0000000f 00000011 00000011 00000013 00000014 00000014 00000014 00000018 00000018 00000018 0000001e 00000020 00000021 00000021 00000022 00000023 00000025 00000026 00000026 00000027 00000028 00000029 0000002b 0000002d 0000002d 0000002f 00000030 00000033 00000033 00000033 00000033 00000034 00000036 00000036 00000037 00000037 00000038 00000039 0000003a 0000003d 0000003f 00000041 00000042 00000042 00000042 00000043 00000044 00000044 00000045 00000048 00000048 00000048 00000049 00000049 00000049 0000004b 0000004c 0000004e 0000004f 00000052 00000052 00000053 00000053 00000054 00000058 00000059 0000005f 0000005f 00000061 00000070 00000073 00000075 00000078 00000079 0000007b 0000007f 00000083 00000083 00000084 00000084 00000086 00000087 00000087 00000087 00000087 0000008a 0000008e 0000008e 0000008f 00000090 00000090 00000093 00000094 00000099 0000009a 0000009b 0000009b 0000009e 0000009e 0000009f 0000009f 000000a6 
皱巴巴                           0000004c 0000004c 0000005f 00000079 
皱痕                             00000043 
皱眉                             00000008 00000008 00000009 0000000b 00000013 00000018 00000024 00000026 00000026 00000027 00000028 0000002d 0000002f 00000030 00000033 00000034 00000038 0000003f 00000041 00000041 00000042 0000004d 0000005f 0000005f 0000006f 00000079 00000084 00000089 0000008a 0000008b 0000008d 0000008d 0000008d 0000008e 00000094 00000099 00000099 0000009a 0000009e 0000009e 0000009e 000000a1 000000a1 000000a7 
皱纹                             00000001 0000001f 00000024 0000002e 0000002e 0000002f 00000034 00000035 00000048 0000005f 0000005f 0000005f 0000005f 00000061 00000061 00000093 000000a0 000000a4 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 
绉                               00000062 
酎                               0000001e 
骤                               000000a5 
骤减                             000000aa 000000aa 
骤然                             00000086 0000009c 
侏罗纪                           000000a7 
侏儒                             00000097 
朱                               0000000b 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000006d 0000006f 0000007e 00000080 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000ae 000000ae 00000100 00000100 
朱德                             00000008 00000059 
朱古力                           00000001 0000006d 0000006d 0000007c 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 
株                               00000034 0000003c 00000043 0000004d 000000a1 000000a1 
猪                               0000000b 0000000c 00000012 00000013 00000014 00000020 00000021 00000021 00000021 00000021 00000021 00000023 00000023 00000023 00000023 00000023 00000023 00000023 00000025 00000025 00000025 00000025 00000026 00000027 00000027 00000029 0000002b 0000002e 00000036 00000038 00000038 00000038 00000038 0000003b 0000003b 0000003b 0000003b 0000003f 0000003f 0000003f 0000003f 0000003f 0000003f 0000003f 00000040 00000042 00000042 00000043 00000043 00000045 00000045 00000047 0000005d 0000005d 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 00000066 00000066 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 00000069 0000006e 0000006e 0000006f 0000006f 0000006f 0000006f 00000071 00000074 00000079 0000007d 0000007d 0000007d 0000007d 00000080 00000083 0000008a 0000008a 0000008a 0000008a 0000008a 0000008b 0000008b 0000008b 0000008b 0000008b 0000008b 00000092 00000092 000000a2 000000a7 000000af 000000af 000000fd 00000100 00000100 00000100 
猪肝                             00000037 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 00000073 0000008b 000000aa 000000aa 000000aa 000000aa 000000aa 000000aa 
猪排                             0000005f 
猪圈                             0000005f 0000005f 0000005f 
猪肉                             0000001a 00000023 0000005f 0000005f 0000005f 00000069 00000069 0000007b 00000095 
猪蹄                             0000001a 
猪头肉                           0000005f 0000005f 0000005f 
猪油                             0000005f 
珠                               00000031 00000033 0000003a 00000042 00000050 0000005d 0000005f 0000005f 00000062 00000062 00000069 00000069 00000082 00000082 00000082 00000082 00000082 00000082 00000082 00000082 
珠宝                             00000008 00000089 00000089 00000089 00000089 00000089 00000089 0000008e 000000a7 
珠光宝气                         0000005f 
珠海                             0000005f 00000100 00000100 00000100 
珠玑                             0000005f 
珠穆朗玛                         000000a7 000000a7 000000a7 000000a7 
珠子                             0000000b 0000003b 0000003e 00000050 0000007f 00000095 00000097 000000a3 
茱                               0000001e 000000a7 000000a7 
蛛                               00000008 00000034 00000035 0000004e 
蛛丝马迹                         0000007f 00000098 
诸                               00000005 0000001f 00000021 0000003e 00000042 00000044 00000053 0000005f 00000061 00000061 00000061 00000061 00000068 00000068 000000a7 000000a8 000000af 000000af 
诸葛亮                           00000069 
诸如                             0000000e 00000018 00000040 00000053 00000059 0000005f 0000005f 00000079 0000007e 
诸如此类                         00000024 00000059 00000090 
诸位                             00000037 00000037 00000043 
诸子                             000000a9 000000a9 
邾                               00000062 
烛光                             00000017 00000023 00000027 00000030 0000003a 00000044 00000044 00000044 00000048 00000049 0000004b 0000004f 00000052 00000053 00000053 00000069 0000006e 0000007b 00000089 0000009e 000000a3 000000fd 000000fd 
烛火                             0000004a 
烛台                             00000032 00000038 00000053 
烛影                             00000052 
竹                               00000001 00000028 00000069 00000069 0000007c 0000007c 0000007c 0000007c 0000007c 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 
竹笋                             0000001a 0000001a 0000001a 0000001a 0000001a 0000001a 0000001a 0000001a 
竺                               00000062 00000062 
躅                               0000006f 
逐                               00000050 00000052 000000a7 
逐步                             0000005c 0000005c 0000007b 00000098 000000a8 000000a8 000000a8 000000a8 000000a8 
逐出                             0000000c 00000011 00000020 00000077 
逐个                             00000015 00000066 00000099 
逐渐                             00000006 00000006 0000000f 0000000f 00000012 00000012 00000016 0000001a 0000001a 00000024 0000002a 0000002b 00000031 00000035 00000037 00000039 00000039 0000003a 0000003a 00000044 0000004e 0000004e 0000004e 0000004f 0000005d 0000005d 0000005d 0000005d 0000005f 00000067 00000075 00000083 00000086 00000098 000000a0 000000a0 000000a5 000000a7 000000a7 000000a7 000000a7 000000a8 000000a8 000000ab 000000ae 000000ae 000000fd 
逐一                             00000016 
丶                               0000001e 
主                               00000001 00000023 00000034 00000044 00000044 0000005c 0000005c 0000005c 0000005c 0000005c 0000005c 0000005c 0000005c 0000005d 0000005d 0000005f 0000005f 00000062 00000067 00000068 00000068 00000068 00000068 00000069 0000008b 00000098 0000009e 0000009e 0000009e 000000a1 000000a4 000000a4 000000a6 000000a6 000000a6 000000a6 000000a6 000000a6 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a8 000000a8 000000a8 000000a9 000000a9 000000a9 000000aa 000000aa 000000aa 000000ab 000000ab 000000ab 000000ab 000000ab 000000ab 000000ab 000000ab 000000ab 000000ab 000000ae 000000ae 000000af 000000b1 000000b1 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 
主板                             0000005c 0000005c 0000005c 0000005c 00000067 00000067 00000067 
主办                             000000a9 000000a9 000000a9 000000a9 
主笔                             0000005f 
主编                             0000005f 0000005f 0000005f 000000a7 
主场                             000000a7 
主程序                           0000005b 0000005b 0000005b 0000005b 0000005b 0000005b 0000005b 0000005b 0000005b 0000005b 0000005b 
主持                             00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000017 00000059 0000005f 0000005f 0000005f 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c6 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c7 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000c8 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000ca 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000f4 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 000000fa 
主持人                           000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 
主厨                             000000a7 000000a7 
主动                             00000028 00000042 0000004c 0000005d 0000005d 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 00000069 0000007b 00000098 00000098 000000a7 000000a7 000000fd 
主动性                           00000001 0000000f 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 
主儿                             0000005f 0000005f 0000005f 
主副食                           0000001a 0000001a 
主官                             0000008d 0000008d 
主观                             00000037 0000005f 000000a8 
主管                             0000005f 0000005f 0000005f 0000005f 00000067 
主机                             00000069 000000ab 000000b1 000000b1 000000b1 
主见                             0000005f 
主教                             0000009e 
主角                             0000005f 00000069 00000069 00000069 00000077 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 
主角奖                           000000a7 000000a7 000000a7 
主考官                           00000024 00000024 00000024 00000024 00000024 
主控                             00000046 00000046 00000046 00000046 00000046 00000046 00000046 
主力                             0000002c 00000081 
主权                             0000005f 000000a8 
主人                             00000016 00000016 00000018 0000001f 0000001f 0000001f 00000021 00000021 00000021 00000021 00000021 00000021 00000021 00000021 00000021 00000022 00000022 00000024 00000026 0000002d 0000002e 0000002e 0000002e 0000002f 00000032 00000032 00000032 00000032 00000032 00000035 00000040 00000041 00000044 00000044 00000044 00000044 00000044 00000044 00000047 00000047 00000047 0000004e 00000059 0000005a 0000005a 0000005f 0000006e 00000071 00000071 00000071 00000071 00000071 00000072 00000074 00000074 00000086 00000086 00000086 00000086 00000086 00000086 00000087 00000087 00000087 00000087 00000087 00000087 00000087 00000087 00000087 00000087 00000093 00000097 0000009a 0000009a 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 0000009c 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a0 000000a1 000000a1 000000a1 000000a1 000000a1 000000a1 000000a1 000000a1 000000a1 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a4 000000a5 000000a5 000000a7 000000a7 000000a7 000000a8 
主人公                           0000000d 0000008f 00000091 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 
主人翁                           000000a7 
主任                             0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 00000069 00000087 0000008f 000000a3 
主任室                           0000005f 
主食                             0000005f 000000a7 
主帅                             000000a7 
